id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15517080,"Convenient Room, Sunny Balcony, Private bathroom",1025454,Spencer,,Dorchester,42.320733815244076,-71.05873871561833,Private room,100,1,12,2017-10-16,0.55,1,76
15517432,Modern Penthouse in the Heart of Boston-South end,99728847,Naoual,,South End,42.34444337977388,-71.07628177858732,Entire home/apt,200,1,140,2018-07-31,6.46,2,276
15521407,Large Private room in Savin Hill,72139831,Robin,,Dorchester,42.30911384304038,-71.04698379040344,Private room,75,1,95,2018-08-12,4.35,4,242
15522020,Newly Renovated 1BR Little Italy by Domio,91548283,Domio,,North End,42.36608458596492,-71.05483714627533,Entire home/apt,89,3,144,2018-08-14,6.44,41,182
15528667,"New Construction Comfort, Easy To Get Everywhere",93820834,Maria,,Charlestown,42.38184954045888,-71.06891189726535,Private room,190,2,5,2018-04-15,0.30,2,85
15530349,Cozy room near many local universities & hospitals,99879257,Marcos,,Jamaica Plain,42.32081014058925,-71.11699979005606,Private room,39,1,12,2018-07-01,4.09,1,13
15541488,2BR Boston Condo In the Heart of Back Bay w/Wifi!,86748234,Evolve Vacation Rental,,Back Bay,42.352869718356985,-71.080484180931,Entire home/apt,280,4,7,2018-07-12,0.40,2,0
15543038,Industrial 2BR in Downtown Crossing by Sonder,12243051,Sonder,,Chinatown,42.3515442010705,-71.06150833159151,Entire home/apt,699,2,13,2018-08-09,0.59,292,139
15543904,Loft-Style 2BR in Downtown Crossing by Sonder,12243051,Sonder,,Downtown,42.35174151035507,-71.06290605388523,Entire home/apt,699,2,35,2018-07-29,1.59,292,127
15545567,[1631-1NE]New Lux Mid-Rise - Longwood Medical Area,25188,Seamless,,Mission Hill,42.33232659608282,-71.09790451564163,Entire home/apt,259,5,2,2017-07-17,0.14,20,179
15548410,"Private Full Bath, Spotless Room, Amazing Location",11635304,Will&Grace,,Mission Hill,42.33194482234663,-71.10864423637337,Private room,99,1,208,2018-07-29,9.40,1,65
15548670,Back Bay at its best. 1BR,100068113,Nick,,Back Bay,42.35252793747337,-71.08545637232852,Entire home/apt,250,2,3,2017-10-23,0.14,1,0
15559436,"Beautifully renovated 1 Bed Apt. - Allston, Boston",100180968,Charles,,Allston,42.35500953563733,-71.12928940891632,Entire home/apt,111,1,154,2018-08-13,8.16,1,102
15569507,Gorgeously Renovated Allston Studio - With WI-FI!!,85143743,Emily,,Allston,42.3501647884597,-71.1310509102749,Entire home/apt,95,1,138,2018-08-02,6.22,2,43
15579760,2 Bed & 2 Bath Luxury Apartment in Fenway Park 401,72375513,Baron,,Fenway,42.344803615063704,-71.099220403486,Entire home/apt,449,1,17,2018-06-10,0.78,4,174
